subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
503	7	30	0	14	1
503	160	35	0	34	1
503	173	25	0	24	0
503	119	35	0	16	1
503	158	25	0	20	1
503	1	25	0	20	1
503	22	35	0	26	1
503	170	30	0	29	0
503	106	30	0	18	1
503	61	35	0	33	0
503	111	30	0	27	1
503	3	30	0	23	1
503	87	30	0	29	0
503	35	35	0	11	1
503	6	35	0	14	1
503	30	25	0	21	1
503	168	35	0	17	1
503	11	25	0	12	1
503	2	25	0	19	1
503	44	30	0	27	0
503	99	35	0	10	1
503	109	30	0	11	1
503	45	30	0	28	0
503	37	25	0	13	1
503	159	35	0	25	1
503	145	25	0	23	0
503	48	25	0	17	0
503	4	30	0	15	1
503	16	30	0	15	1
503	43	35	0	13	1
503	58	25	0	13	0
503	5	25	0	19	1
503	41	35	0	30	0
503	113	30	0	28	0
503	47	35	0	34	0
386	173	25	0	24	1
386	158	25	0	20	1
386	126	30	0	20	0
386	47	35	0	34	1
386	106	30	0	18	0
386	4	30	0	15	1
386	7	30	0	14	1
386	170	30	0	29	0
386	3	30	0	23	1
386	110	35	0	34	0
386	76	25	0	21	1
386	35	35	0	11	1
386	145	25	0	23	1
386	45	30	0	28	0
386	22	35	0	26	1
386	180	25	0	24	0
386	8	30	0	25	1
386	61	35	0	33	1
386	30	25	0	21	0
386	25	35	0	10	1
386	159	35	0	25	1
386	99	35	0	10	1
386	6	35	0	14	1
386	168	35	0	17	1
386	98	25	0	18	0
386	111	30	0	27	0
386	41	35	0	30	1
386	58	25	0	13	1
386	14	25	0	16	1
386	43	35	0	13	1
386	152	35	0	33	0
386	109	30	0	11	1
386	44	30	0	27	0
386	2	25	0	19	1
386	48	25	0	17	1
386	136	25	0	22	0
386	12	35	0	12	1
386	81	35	0	31	1
386	5	25	0	19	1
386	9	30	0	22	1
386	1	25	0	20	1
386	15	30	0	26	1
386	11	25	0	12	1
386	119	35	0	16	0
386	160	35	0	34	1
386	130	30	0	29	1
386	112	25	0	24	0
386	16	30	0	15	1
386	87	30	0	29	0
273	30	25	0	21	1
273	173	25	0	24	0
273	170	30	0	29	1
273	4	30	0	15	1
273	14	25	0	16	1
273	48	25	0	17	1
273	58	25	0	13	1
273	15	30	0	26	1
273	98	25	0	18	1
273	47	35	0	34	1
273	2	25	0	19	1
273	45	30	0	28	1
273	113	30	0	28	1
273	180	25	0	24	0
273	3	30	0	23	1
273	160	35	0	34	1
273	145	25	0	23	1
273	12	35	0	12	1
273	1	25	0	20	1
273	43	35	0	13	1
273	159	35	0	25	1
273	81	35	0	31	1
273	119	35	0	16	1
273	8	30	0	25	1
273	35	35	0	11	1
273	16	30	0	15	1
273	7	30	0	14	1
273	25	35	0	10	1
273	106	30	0	18	1
